W       0930 1045 SCIENC 126 (Class)
F       0800 0915 ROWAN 117 (Class)
F       0930 1045 ROWAN 117 (Class)"
W       0800 0915 SAVITZ 321 (Class)
"W       0800 0915 ROWAN 146 (Class)
W       0930 1045 ROWAN 146 (Class)"
"W       0800 0915 LBRARY 126 (Class)
W       0930 1045 LBRARY 126 (Class)"
"W       0800 0915 JAMES 2100 (Class)
F       0800 0915 JAMES 1081 (Class)"
"TW      1530 1645 ROWAN 117 (Class)
W       1830 1945 REXT 118 (Lab)
W       2000 2115 REXT 118 (Lab)"
"TW      1530 1645 ROWAN 117 (Class)
R       1830 1945 REXT 118 (Lab)
R       2000 2115 REXT 118 (Lab)"
"TW      1100 1215 SCIENC 252 (Lecture)
R       1100 1215 SCIENC 252 (Lab)
R       1230 1345 SCIENC 252 (Lab)"
TRF     1530 1645 ROBSON 101B (Class)
TRF     1230 1345 ROBSON 324 (Class)
TRF     1230 1345 ROBSON 227 (Class)
TRF     1230 1345 ROBSON 101B (Class)
TRF     1100 1215 ROBSON 324 (Class)
TRF     1100 1215 ROBSON 227 (Class)
TRF     1100 1215 ROBSON 101B (Class)
TRF     1100 1215 JAMES 3091A (Class)
TRF     0930 1045 ROBSON 101B (Class)
TRF     0930 1045 JAMES 3091A (Class)
TRF     0800 0915 ROBSON 324 (Class)
TRF     0800 0915 ROBSON 101B (Class)
TR      2000 2115 WILSON 214 (Class)
TR      2000 2115 WILSON 114 (Class)
TR      2000 2115 VCTRIA 302 (Class)
TR      2000 2115 VCTRIA 204 (Class)
TR      2000 2115 MEMORL 001 (Class)
TR      2000 2115 ENTPRZ 417 (Class)
TR      2000 2115 BUNCE TOHILL (Class)
TR      2000 2115 BUNCE 131 (Class)
TR      1855 2035 ROBSON 324 (Class)
TR      1855 2035 ROBSON 227 (Class)
TR      1855 2035 JAMES 3091A (Class)
TR      1830 1945 WILSON 213 (Class)
TR      1830 1945 WILSON 206 (Class)
TR      1830 1945 WILSON 206 (Class)
TR      1830 1945 WILSON 203 (Class)
TR      1830 1945 WILSON 164 (Class)
TR      1830 1945 WILSON 114 (Class)
"TR      1830 1945 WESTBY 219 (Class)
TR      2000 2115 WESTBY 219 (Class)"
"TR      1830 1945 WESTBY 218 (Class)
TR      2000 2115 WESTBY 218 (Class)"
TR      1830 1945 VCTRIA 301 (Class)
TR      1830 1945 VCTRIA 204 (Class)
TR      1830 1945 VCTRIA 200 (Class)
"TR      1830 1945 SCIENC 239 (Class)
TR      2000 2115 SCIENC 239 (Class)"
"TR      1830 1945 SCIENC 234 (Class)
TR      2000 2115 SCIENC 234 (Class)"
"TR      1830 1945 SCIENC 232 (Class)
TR      2000 2115 SCIENC 232 (Class)"
"TR      1830 1945 SCIENC 218 (Class)
TR      2000 2115 SCIENC 218 (Class)"
"TR      1830 1945 SCIENC 204 (Class)
TR      2000 2115 SCIENC 204 (Class)"
"TR      1830 1945 SCIENC 149 (Class)
TR      2000 2115 SCIENC 149 (Class)"
"TR      1830 1945 ROBSON 312 (Class)
TR      2000 2115 ROBSON 312 (Class)"
TR      1830 1945 ROBSON 310 (Class)
"TR      1830 1945 REXT 340 (Class)
W       1530 1645 REXT 339 (Class)
W       1700 1815 REXT 339 (Class)"
TR      1830 1945 MEMORL 101 (Class)
TR      1830 1945 JAMES 2110 (Class)
TR      1830 1945 JAMES 2101 (Class)
TR      1830 1945 HAWTHN 104 (Class)
TR      1830 1945 ENTPRZ 514 (Class)
TR      1830 1945 ENTPRZ 417 (Class)
TR      1830 1945 ENTPRZ 409 (Class)
TR      1830 1945 ENTPRZ 406 (Class)
TR      1830 1945 BUNCE TOHILL (Class)
TR      1830 1945 BUNCE 131 (Class)
TR      1830 1945 BUNCE 109 (Class)
TR      1700 1840 ROBSON 324 (Class)
TR      1700 1840 ROBSON 227 (Class)
TR      1700 1840 ROBSON 101B (Class)
TR      1700 1840 ROBSON 101A (Class)
TR      1700 1840 JAMES 3091A (Class)
TR      1700 1815 WINANS 113 (Class)
TR      1700 1815 WINANS 112 (Class)
TR      1700 1815 WILSON 213 (Class)
TR      1700 1815 WILSON 212 (Class)
TR      1700 1815 WILSON 212 (Class)
TR      1700 1815 WILSON 206 (Class)
TR      1700 1815 WILSON 203 (Class)
TR      1700 1815 WILSON 164 (Class)
TR      1700 1815 WILSON 156 (Class)
TR      1700 1815 WILSON 153 (Class)
TR      1700 1815 WILSON 109 (Class)
TR      1700 1815 WILSON 108 (Class)
TR      1700 1815 WILSON 105 (Class)
"TR      1700 1815 WESTBY 205 (Class)
TR      1830 1945 WESTBY 205 (Class)"
"TR      1700 1815 WESTBY 205 (Class)
TR      1830 1945 WESTBY 205 (Class)"
"TR      1700 1815 WESTBY 201 (Class)
TR      1830 1945 WESTBY 201 (Class)"
"TR      1700 1815 WESTBY 104 (Class)
TR      1830 1945 WESTBY 104 (Class)"
"TR      1700 1815 WESTBY 102 (Class)
TR      1830 1945 WESTBY 102 (Class)"
"TR      1700 1815 WESTBY 100 (Class)
TR      1830 1945 WESTBY 100 (Class)"
"TR      1700 1815 WESTBY 100 (Class)
TR      1830 1945 WESTBY 100 (Class)"
TR      1700 1815 VCTRIA 306 (Class)
TR      1700 1815 VCTRIA 301 (Class)
TR      1700 1815 VCTRIA 300 (Class)
TR      1700 1815 VCTRIA 204 (Class)
TR      1700 1815 VCTRIA 201 (Class)
TR      1700 1815 VCTRIA 200 (Class)
"TR      1700 1815 SCIENC 324 (Lecture)
W       1530 1645 SCIENC 334 (Lab)
W       1700 1815 SCIENC 334 (Lab)"
"TR      1700 1815 SCIENC 324 (Lecture)
W       1530 1645 SCIENC 332 (Lab)
W       1700 1815 SCIENC 332 (Lab)"
"TR      1700 1815 SCIENC 252 (Class)
TR      1830 1945 SCIENC 252 (Class)"
"TR      1700 1815 SCIENC 241 (Class)
TR      1830 1945 SCIENC 241 (Class)"
TR      1700 1815 SCIENC 220 (Class)
TR      1700 1815 SCIENC 218 (Class)
TR      1700 1815 SCIENC 218 (Class)
"TR      1700 1815 SCIENC 144 (Class)
TR      1830 1945 SCIENC 144 (Class)"
TR      1700 1815 SCIENC 128 (Class)
TR      1700 1815 ROBSON 325 (Class)
TR      1700 1815 ROBSON 323 (Class)
TR      1700 1815 ROBSON 310 (Class)
TR      1700 1815 ROBSON 308 (Class)
TR      1700 1815 ROBSON 224 (Class)
TR      1700 1815 ROBSON 211 (Class)
TR      1700 1815 ROBSON 205 (Class)
TR      1700 1815 ROBSON 202 (Class)
TR      1700 1815 ROBSON 201B (Class)
TR      1700 1815 ROBSON 201A (Class)
TR      1700 1815 ROBSON 121 (Class)
TR      1700 1815 ROBSON 103 (Class)
"TR      1700 1815 REXT 340 (Class)
F       0800 0915 REXT 340 (Class)
F       0930 1045 REXT 340 (Class)"
TR      1700 1815 REXT 321 (Class)
TR      1700 1815 MEMORL 101 (Class)
TR      1700 1815 MEMORL 001 (Class)
